SRR27312786,2023ZN-0001
SRR27312787,2023ZN-0002
SRR27312788,2023ZN-0011
SRR27312789,2023ZN-0012
SRR27312790,2023ZN-0013
SRR27312791,2023ZN-0014
SRR27312792,2023ZN-0015,SAMN39003158
SRR27312793,2023ZN-0016
SRR27312794,2023ZN-0017
SRR27312795,2023ZN-0003
SRR27312796,2023ZN-0004
SRR27312797,2023ZN-0005
SRR27312798,2023ZN-0006
SRR27312799,2023ZN-0007
SRR27312800,2023ZN-0008
SRR27312801,2023ZN-0009
SRR27312802,2023ZN-0010
SRR27376568,2023ZN-0027
SRR27376569,2023ZN-0026
SRR27376570,2023ZN-0025
SRR27376571,2023ZN-0024
SRR27376572,2023ZN-0023
SRR27376573,2023ZN-0022
SRR27376574,2023ZN-0021
SRR27376575,2023ZN-0020
SRR27376576,2023ZN-0031
SRR27376577,2023ZN-0030
SRR27376578,2023ZN-0029
SRR27376579,2023ZN-0028
SRR27376580,2023ZN-0019
SRR27376581,2023ZN-0018
SRR27481595,2023ZN-0041
SRR27481596,2023ZN-0040
SRR27481597,2023ZN-0039
SRR27481598,2023ZN-0038
SRR27481599,2023ZN-0037,SAMN39332658
SRR27481600,2023ZN-0036
SRR27481601,2023ZN-0035
SRR27481602,2023ZN-0034
SRR27481603,2023ZN-0047
SRR27481604,2023ZN-0046
SRR27481605,2023ZN-0045
SRR27481606,2023ZN-0044
SRR27481607,2023ZN-0043
SRR27481608,2023ZN-0042
SRR27481609,2023ZN-0033
SRR27481610,2023ZN-0032
SRR27488997,2023ZN-0057
SRR27488998,2023ZN-0056
SRR27488999,2023ZN-0055
SRR27489000,2023ZN-0054
SRR27489001,2023ZN-0053
SRR27489002,2023ZN-0052
SRR27489003,2023ZN-0051
SRR27489004,2023ZN-0050
SRR27489005,2023ZN-0062
SRR27489006,2023ZN-0061
SRR27489007,2023ZN-0060
SRR27489008,2023ZN-0059
SRR27489009,2023ZN-0058
SRR27489010,2023ZN-0049,SAMN39402576
SRR27489011,2023ZN-0048
SRR28000865,2023ZN-0081
SRR28000866,2023ZN-0080
SRR28000867,2023ZN-0079
SRR28000868,2023ZN-0078
SRR28083225,2023ZN-0091
SRR28083226,2023ZN-0090
SRR28083227,2023ZN-0089
SRR28083228,2023ZN-0086
SRR28083229,2023ZN-0085
SRR28083230,2023ZN-0088
SRR28083231,2023ZN-0087
SRR28083232,2023ZN-0084
SRR28083233,2023ZN-0094
SRR28083234,2023ZN-0093
SRR28083235,2023ZN-0092
SRR28083236,2023ZN-0083
SRR28083237,2023ZN-0082
SRR28093918,2023ZN-0104
SRR28093919,2023ZN-0103
SRR28093920,2023ZN-0102
SRR28093921,2023ZN-0101
SRR28093922,2023ZN-0100
SRR28093923,2023ZN-0099
SRR28093924,2023ZN-0098
SRR28093925,2023ZN-0097
SRR28093926,2023ZN-0106
SRR28093927,2023ZN-0105
SRR28093928,2023ZN-0096
SRR28093929,2023ZN-0095
SRR28127994,2023ZN-0111
SRR28127995,2023ZN-0110
SRR28127996,2023ZN-0109
SRR28127997,2023ZN-0108
SRR28127998,2023ZN-0107
SRR28127999,2023ZN-0119
SRR28128000,2023ZN-0118
SRR28128001,2023ZN-0116
SRR28128002,2023ZN-0113
SRR28128003,2023ZN-0117
SRR28128004,2023ZN-0112
SRR28128005,2023ZN-0115
SRR28128006,2023ZN-0114
SRR28312119,2024ZN-0010
SRR28312120,2024ZN-0009
SRR28312121,2024ZN-0008,SAMN40418997
SRR28312122,2024ZN-0007
SRR28312123,2024ZN-0194,SAMN40418995,OH-VH00648-240326
SRR28312124,2024ZN-0005
SRR28312125,2024ZN-0004
SRR28312126,2024ZN-0003
SRR28312127,2024ZN-0018
SRR28312128,2024ZN-0017
SRR28312129,2024ZN-0016
SRR28312130,2024ZN-0015
SRR28312131,2024ZN-0014
SRR28312132,2024ZN-0013
SRR28312133,2024ZN-0012
SRR28312134,2024ZN-0011
SRR28312135,2024ZN-0002
SRR28312136,2024ZN-0001
SRR28357600,2024ZN-0028
SRR28357601,2024ZN-0027
SRR28357602,2024ZN-0026
SRR28357603,2024ZN-0025
SRR28357604,2024ZN-0024
SRR28357605,2024ZN-0023
SRR28357606,2024ZN-0022,SAMN40473216
SRR28357607,2024ZN-0021
SRR28357608,2024ZN-0038
SRR28357609,2024ZN-0037
SRR28357610,2024ZN-0036
SRR28357611,2024ZN-0035
SRR28357612,2024ZN-0034
SRR28357613,2024ZN-0033
SRR28357614,2024ZN-0032
SRR28357615,2024ZN-0031
SRR28357616,2024ZN-0030
SRR28357617,2024ZN-0029
SRR28357618,2024ZN-0020
SRR28357619,2024ZN-0019
SRR28395768,2024ZN-0039
SRR28759601,2024ZN-0049
SRR28759602,2024ZN-0048
SRR28759603,2024ZN-0047
SRR28759604,2024ZN-0046
SRR28759605,2024ZN-0045
SRR28759606,2024ZN-0044
SRR28759607,2024ZN-0043
SRR28759608,2024ZN-0069
SRR28759609,2024ZN-0068
SRR28759610,2024ZN-0067
SRR28759611,2024ZN-0066
SRR28759612,2024ZN-0065
SRR28759613,2024ZN-0064
